q,epsilon,scale_index,log_inverse_epsilon,occupied_boxes,moment_sum,scale_value,used_in_fit
1.0,0.013629478032352054,6,4.295520329505736,970,,6.594927065822873,True
1.0,0.018013000698916416,7,4.016661520740049,693,,6.2344367303719785,True
1.0,0.023806355122989932,8,3.7378027119743633,494,,5.905794345525887,True
1.0,0.031462972422801376,9,3.4589439032086773,351,,5.567511491563579,True
1.0,0.04158211656357214,10,3.1800850944429913,244,,5.201276306627768,True
1.0,0.05495578722414137,11,2.9012262856773052,170,,4.852052819187099,True
1.0,0.07263070759776766,12,2.622367476911619,123,,4.515601755808818,True
1.0,0.09599024875464056,13,2.3435086681459327,85,,4.18432019646607,True
1.0,0.12686270257762117,14,2.0646498593802467,60,,3.8438876981796914,True
1.0,0.16766437751855415,15,1.7857910506145602,41,,3.5000095256115324,True
1.0,0.2215887169161027,16,1.5069322418488742,29,,3.128415103158441,True
1.0,0.29285624168491625,17,1.2280734330831877,20,,2.7638285448563917,True
1.0,0.3870448797548027,18,0.9492146243175023,14,,2.502440393353933,True
1.0,0.5115265363050838,19,0.6703558155518166,11,,2.1089697248789783,True
1.5,0.0025576326815254192,0,5.968673182099853,7300,0.014706231858523754,8.438967878157815,True
1.5,0.0033802203701808527,1,5.689814373334166,5249,0.01724271285468306,8.120731335931632,True
1.5,0.004467369311284743,2,5.410955564568481,3789,0.02017335534461593,7.8067851752456505,True
1.5,0.005904167887829444,3,5.132096755802794,2706,0.023653057299415647,7.488525799393253,True
1.5,0.007803070670611615,4,4.853237947037108,1919,0.0279035081277901,7.158005717424062,True
1.5,0.010312699951515686,5,4.574379138271421,1374,0.033298220989626426,6.80450261431556,True
1.5,0.013629478032352054,6,4.295520329505736,970,0.03939751826115008,6.468104905915556,True
1.5,0.018013000698916416,7,4.016661520740049,693,0.047218937995952746,6.105920476267074,True
1.5,0.023806355122989932,8,3.7378027119743633,494,0.05549679082029427,5.782860165918653,True
1.5,0.031462972422801376,9,3.4589439032086773,351,0.06549410967447669,5.451590138037393,True
1.5,0.04158211656357214,10,3.1800850944429913,244,0.0788614773184384,5.08012483455248,True
1.5,0.05495578722414137,11,2.9012262856773052,170,0.09336599519866684,4.7424561542831345,True
1.5,0.07263070759776766,12,2.622367476911619,123,0.11025853621134264,4.40985468339839,True
1.5,0.09599024875464056,13,2.3435086681459327,85,0.12871711311763118,4.100276408325389,True
1.5,0.12686270257762117,14,2.0646498593802467,60,0.15370196727326305,3.7454796581676506,True
1.5,0.16766437751855415,15,1.7857910506145602,41,0.1805582495244725,3.42340368244519,True
1.5,0.2215887169161027,16,1.5069322418488742,29,0.21894332512688755,3.0378847440646553,True
1.5,0.29285624168491625,17,1.2280734330831877,20,0.2620502450772463,2.6784380370070826,True
1.5,0.3870448797548027,18,0.9492146243175023,14,0.2936040393510453,2.4510464486575394,True
1.5,0.5115265363050838,19,0.6703558155518166,11,0.3619515219413826,2.0324899868261705,True
2.0,0.0025576326815254192,0,5.968673182099853,7300,0.00025770640000000004,8.26368960553479,True
2.0,0.0033802203701808527,1,5.689814373334166,5249,0.00035097160000000004,7.954805249452846,True
2.0,0.004467369311284743,2,5.410955564568481,3789,0.0004779348,7.646036236450013,True
2.0,0.005904167887829444,3,5.132096755802794,2706,0.0006498622,7.338750217549768,True
2.0,0.007803070670611615,4,4.853237947037108,1919,0.0008980451999999999,7.015290156853068,True
2.0,0.010312699951515686,5,4.574379138271421,1374,0.0012821646,6.659205535589627,True
2.0,0.013629478032352054,6,4.295520329505736,970,0.0017665072000000001,6.338751015317167,True
2.0,0.018013000698916416,7,4.016661520740049,693,0.0025268744,5.980772155016707,True
2.0,0.023806355122989932,8,3.7378027119743633,494,0.0034530408000000004,5.668500044831751,True
2.0,0.031462972422801376,9,3.4589439032086773,351,0.0047658814,5.346272785214458,True
2.0,0.04158211656357214,10,3.1800850944429913,244,0.0069680456,4.966420495251282,True
2.0,0.05495578722414137,11,2.9012262856773052,170,0.0095701964,4.6491015512618175,True
2.0,0.07263070759776766,12,2.622367476911619,123,0.0132560408,4.323301921011073,True
2.0,0.09599024875464056,13,2.3435086681459327,85,0.0177369858,4.032103226345353,True
2.0,0.12686270257762117,14,2.0646498593802467,60,0.025650752399999997,3.663182374462239,True
2.0,0.16766437751855415,15,1.7857910506145602,41,0.034778485399999996,3.358756319020344,True
