centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass,estimator
363,73251,0.0019946822233007843,24,0.00024,-6.217270527893786,-8.334871634622283,knn
363,73251,0.00254587266837909,33,0.00033,-5.973281792517424,-8.016417903503749,knn
363,73251,0.0032699136400925876,44,0.00044,-5.7229917041793374,-7.728735831051967,knn
363,73251,0.004162581504223724,60,0.0006,-5.481619843272984,-7.418580902748128,knn
363,73251,0.005350704170323859,82,0.00082,-5.230527106114174,-7.106206217705975,knn
363,73251,0.007162487165898731,111,0.00111,-4.938897988789484,-6.803395263657894,knn
363,73251,0.0096288339781086,151,0.00151,-4.642993142734862,-6.495645628155304,knn
363,73251,0.010866506578255797,204,0.00204,-4.522070011448452,-6.194805471126012,knn
363,73251,0.011659185391055005,277,0.00277,-4.451660964046245,-5.88890795878289,knn
363,73251,0.0126426977500046,376,0.00376,-4.370675483447308,-5.583336321580334,knn
363,73251,0.014388714031451547,510,0.0051,-4.241311127506936,-5.2785147392518565,knn
363,73251,0.016890854839032368,691,0.00691,-4.0809829373039035,-4.974785641202558,knn
363,73251,0.020784340655909818,937,0.00937,-3.873555428892321,-4.670242182731807,knn
363,73251,0.029278441732813337,1270,0.0127,-3.5309038108129758,-4.3661532855175915,knn
363,73251,0.04103958374541952,1721,0.01721,-3.19321822082653,-4.062264668758689,knn
363,73251,0.05729031565265268,2333,0.02333,-2.859623680842972,-3.7580151929487986,knn
363,73251,0.07866238067189345,3162,0.03162,-2.5425902470932935,-3.4539654472008112,knn
364,73437,0.002801550270375554,18,0.00018,-5.87758234702728,-8.622553707074063,knn
364,73437,0.0035645377676940225,24,0.00024,-5.636720891953108,-8.334871634622283,knn
364,73437,0.004544597990447387,33,0.00033,-5.39381600621138,-8.016417903503749,knn
364,73437,0.005456360656767035,44,0.00044,-5.210973257845787,-7.728735831051967,knn
364,73437,0.007628945269763239,60,0.0006,-4.875805677872351,-7.418580902748128,knn
364,73437,0.010056900569838895,82,0.00082,-4.599496256230803,-7.106206217705975,knn
364,73437,0.013980081681948434,111,0.00111,-4.2701216994218365,-6.803395263657894,knn
364,73437,0.020808288669123428,151,0.00151,-3.872403877944538,-6.495645628155304,knn
364,73437,0.02652447294543775,204,0.00204,-3.629687464785526,-6.194805471126012,knn
364,73437,0.026973835178281686,277,0.00277,-3.612887950298307,-5.88890795878289,knn
364,73437,0.028004084775033414,376,0.00376,-3.575404894624467,-5.583336321580334,knn
364,73437,0.029535557181398168,510,0.0051,-3.522160413278209,-5.2785147392518565,knn
364,73437,0.0330807411533322,691,0.00691,-3.4088040042006007,-4.974785641202558,knn
364,73437,0.04564942649856752,937,0.00937,-3.086764235030644,-4.670242182731807,knn
364,73437,0.0494212509304413,1270,0.0127,-3.00737476651132,-4.3661532855175915,knn
364,73437,0.057903862625863056,1721,0.01721,-2.848971184609975,-4.062264668758689,knn
364,73437,0.07343524998514522,2333,0.02333,-2.6113512136131773,-3.7580151929487986,knn
364,73437,0.09661089603046341,3162,0.03162,-2.3370637487781694,-3.4539654472008112,knn
365,73445,0.0008515343456860495,18,0.00018,-7.068470723165826,-8.622553707074063,knn
365,73445,0.0010270351586906482,24,0.00024,-6.881079114258847,-8.334871634622283,knn
365,73445,0.0012267011444391904,33,0.00033,-6.703426708984623,-8.016417903503749,knn
365,73445,0.0016351026689022166,44,0.00044,-6.416049682168802,-7.728735831051967,knn
365,73445,0.002105257909059992,60,0.0006,-6.163317297234253,-7.418580902748128,knn
365,73445,0.003186082500627458,82,0.00082,-5.748963173093994,-7.106206217705975,knn
365,73445,0.003957137883151626,111,0.00111,-5.532234271810241,-6.803395263657894,knn
365,73445,0.005702405431690088,151,0.00151,-5.16686718760127,-6.495645628155304,knn
365,73445,0.00638932994375742,204,0.00204,-5.053125876222761,-6.194805471126012,knn
365,73445,0.00812553882487595,277,0.00277,-4.812743236057395,-5.88890795878289,knn
