centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count,estimator,fit_min_radius,fit_max_radius,fit_min_mass,fit_max_mass
107,11351,0.9719842489119644,-0.14368679295648618,1.3955409021442244,0.37524219048841384,0.9613898333911872,18,15,1947,knn,0.002869205775903627,0.101013852022883,0.0003,0.03894
108,11367,0.9624801847555579,-0.14600187007866264,1.3639322349279694,0.29290511351467474,0.9547011274121799,18,15,1947,knn,0.0022649648030969075,0.10256285691430175,0.0003,0.03894
109,11425,-0.4990041389726686,-0.267942021698255,1.071213519657463,-1.7121165860563587,0.9751822866873333,18,15,1947,knn,0.0016682094926446158,0.19539085982690693,0.0003,0.03894
110,11448,-0.5173752666068302,-0.34802525996401246,1.1463388436807092,-1.6000527891400502,0.9582480391933257,18,15,1947,knn,0.0026532563865560945,0.192043540296338,0.0003,0.03894
111,11563,0.7011810466909638,0.03341286204912025,1.1957430920148424,-0.20945331052797955,0.9898373070486565,18,15,1947,knn,0.0016824084396344775,0.07528986391341123,0.0003,0.03894
112,11611,-1.0509542627249162,0.3645567090298791,1.203894944006302,-0.10116543670220703,0.978329757604568,18,15,1947,knn,0.001860031471775563,0.09178968006252763,0.0003,0.03894
113,11672,0.3060410736284811,0.20974065127711777,0.9952535079492045,-0.13951656146324992,0.9699765525426686,18,15,1947,knn,0.0005310440944650434,0.053574968202464684,0.0003,0.03894
114,11715,-0.2710381598209648,-0.32384189893168597,1.1035897401248758,-1.5646463880517867,0.9948014401029384,18,15,1947,knn,0.002234145476066468,0.18588275236929772,0.0003,0.03894
115,11745,-0.30001832976096265,0.2707430864828429,1.0132905539263881,-1.3144793292420947,0.9648393492630771,18,15,1947,knn,0.0009160856987257713,0.10564451596997364,0.0003,0.03894
116,11759,-0.5327612264324892,0.32329201878582664,0.9661901269311592,-0.7978948770020429,0.9992281071739442,18,15,1947,knn,0.0005333991706060382,0.08691090651312884,0.0003,0.03894
117,11797,-0.3136901033582159,-0.2455212915247091,1.4663937079455294,-1.098398680549816,0.9701321519005384,18,15,1947,knn,0.006791711397168599,0.18393355563335093,0.0003,0.03894
